comments,emotion_scores,joy,sadness,anger,fear,disgust,surprise,neutral
TS spelled backwards is ST. as in SAINT! SO THAT MEANS TAYLOR IS A SAINT!,"{'anger': 0.03376493975520134, 'disgust': 0.00813964195549488, 'fear': 0.001967661315575242, 'joy': 0.028090234845876694, 'neutral': 0.6746935844421387, 'sadness': 0.015595817938446999, 'surprise': 0.2377481311559677}",0.028090234845876694,0.015595817938446999,0.03376493975520134,0.001967661315575242,0.00813964195549488,0.2377481311559677,0.6746935844421387
"""Cause im a nightmare dress like a day dream""","{'anger': 0.0020703549962490797, 'disgust': 0.0011633753310889006, 'fear': 0.9788908362388611, 'joy': 0.0012976978905498981, 'neutral': 0.0037210993468761444, 'sadness': 0.0034799245186150074, 'surprise': 0.009376751258969307}",0.0012976978905498981,0.0034799245186150074,0.0020703549962490797,0.9788908362388611,0.0011633753310889006,0.009376751258969307,0.0037210993468761444
"IF U HAVENT SEEN THIS VIDEO , WAKE UPPPPPP THE QUEEN HAS BEEN HERE FOR 10 YEARSSSSSS","{'anger': 0.031484320759773254, 'disgust': 0.004182459320873022, 'fear': 0.0163431316614151, 'joy': 0.005692750681191683, 'neutral': 0.8536159992218018, 'sadness': 0.026828192174434662, 'surprise': 0.06185311824083328}",0.005692750681191683,0.026828192174434662,0.031484320759773254,0.0163431316614151,0.004182459320873022,0.06185311824083328,0.8536159992218018
She is so dum that she put make up on her head to make up her mind,"{'anger': 0.036146391183137894, 'disgust': 0.7106688022613525, 'fear': 0.007717583794146776, 'joy': 0.0024902368895709515, 'neutral': 0.18548139929771423, 'sadness': 0.03032507933676243, 'surprise': 0.027170516550540924}",0.0024902368895709515,0.03032507933676243,0.036146391183137894,0.007717583794146776,0.7106688022613525,0.027170516550540924,0.18548139929771423
She is so dum that she put macke up on here head to make up he mind,"{'anger': 0.07384950667619705, 'disgust': 0.5201153755187988, 'fear': 0.007173420395702124, 'joy': 0.006160292308777571, 'neutral': 0.3122033476829529, 'sadness': 0.03855542838573456, 'surprise': 0.04194260761141777}",0.006160292308777571,0.03855542838573456,0.07384950667619705,0.007173420395702124,0.5201153755187988,0.04194260761141777,0.3122033476829529
I love Taylor Swift song. I wish I could swing sing with her.,"{'anger': 0.002321838168427348, 'disgust': 0.003986517433077097, 'fear': 0.016543565317988396, 'joy': 0.04642939567565918, 'neutral': 0.03806977719068527, 'sadness': 0.7689294219017029, 'surprise': 0.12371944636106491}",0.04642939567565918,0.7689294219017029,0.002321838168427348,0.016543565317988396,0.003986517433077097,0.12371944636106491,0.03806977719068527
One of the first songs I watched when my dad bought me a phone..I miss my  teen years,"{'anger': 0.0019430561223998666, 'disgust': 0.0017136783571913838, 'fear': 0.0021229546982795, 'joy': 0.02206466905772686, 'neutral': 0.01926388218998909, 'sadness': 0.8832629323005676, 'surprise': 0.06962879002094269}",0.02206466905772686,0.8832629323005676,0.0019430561223998666,0.0021229546982795,0.0017136783571913838,0.06962879002094269,0.01926388218998909
Hey Taylor I hope you notice me. I have been a fan for so long can I get a shout out please? I have been your biggest supporter for my whole life.i love you!love your friend ,"{'anger': 0.16842690110206604, 'disgust': 0.002709399675950408, 'fear': 0.23882174491882324, 'joy': 0.3720640540122986, 'neutral': 0.09990251064300537, 'sadness': 0.047733549028635025, 'surprise': 0.0703418180346489}",0.3720640540122986,0.047733549028635025,0.16842690110206604,0.23882174491882324,0.002709399675950408,0.0703418180346489,0.09990251064300537
" 10  
me:

nope, i refuse to believe that","{'anger': 0.061815183609724045, 'disgust': 0.01204547006636858, 'fear': 0.15985479950904846, 'joy': 0.04613000154495239, 'neutral': 0.06325500458478928, 'sadness': 0.5098734498023987, 'surprise': 0.1470261663198471}",0.04613000154495239,0.5098734498023987,0.061815183609724045,0.15985479950904846,0.01204547006636858,0.1470261663198471,0.06325500458478928
Nah i love this song but i didt know it was 10years ago,"{'anger': 0.005704282317310572, 'disgust': 0.0041436245664954185, 'fear': 0.00744344899430871, 'joy': 0.006183607969433069, 'neutral': 0.03306051343679428, 'sadness': 0.04734749719500542, 'surprise': 0.8961170315742493}",0.006183607969433069,0.04734749719500542,0.005704282317310572,0.00744344899430871,0.0041436245664954185,0.8961170315742493,0.03306051343679428
"2024 , 40 days to 2025, not a Swiftie but this song hits every time!! and all the others! XD you look like my next mistake price less","{'anger': 0.016822263598442078, 'disgust': 0.002197838621214032, 'fear': 0.0018401952693238854, 'joy': 0.15034888684749603, 'neutral': 0.25555911660194397, 'sadness': 0.02867870219051838, 'surprise': 0.5445529818534851}",0.15034888684749603,0.02867870219051838,0.016822263598442078,0.0018401952693238854,0.002197838621214032,0.5445529818534851,0.25555911660194397
I sing it all the time. I love it and her voice,"{'anger': 0.008685190230607986, 'disgust': 0.007140186615288258, 'fear': 0.0013977186754345894, 'joy': 0.9070451855659485, 'neutral': 0.045689698308706284, 'sadness': 0.014754251576960087, 'surprise': 0.015287837944924831}",0.9070451855659485,0.014754251576960087,0.008685190230607986,0.0013977186754345894,0.007140186615288258,0.015287837944924831,0.045689698308706284
"""Got a long list of Starbucks lovers"" ... is this still a thing in 2024 ? :)","{'anger': 0.0070206038653850555, 'disgust': 0.004604423884302378, 'fear': 0.001521100988611579, 'joy': 0.011527318507432938, 'neutral': 0.8916822671890259, 'sadness': 0.0073199812322855, 'surprise': 0.07632434368133545}",0.011527318507432938,0.0073199812322855,0.0070206038653850555,0.001521100988611579,0.004604423884302378,0.07632434368133545,0.8916822671890259
nick had so many boyfriends it freaked me out i would love a siser with one boyfriend one boyfriend not 7,"{'anger': 0.0509035550057888, 'disgust': 0.0045192367397248745, 'fear': 0.018341798335313797, 'joy': 0.33131143450737, 'neutral': 0.050678692758083344, 'sadness': 0.46214932203292847, 'surprise': 0.08209593594074249}",0.33131143450737,0.46214932203292847,0.0509035550057888,0.018341798335313797,0.0045192367397248745,0.08209593594074249,0.050678692758083344
Shes so bad is just my sister loves her so much,"{'anger': 0.005758377257734537, 'disgust': 0.0702848732471466, 'fear': 0.015508671291172504, 'joy': 0.006986827589571476, 'neutral': 0.056796181946992874, 'sadness': 0.8306761384010315, 'surprise': 0.013988946564495564}",0.006986827589571476,0.8306761384010315,0.005758377257734537,0.015508671291172504,0.0702848732471466,0.013988946564495564,0.056796181946992874
if i got super baked i could write you a list of 1000 borken laws on me since 14 years old,"{'anger': 0.030487963929772377, 'disgust': 0.0017484421841800213, 'fear': 0.00586187606677413, 'joy': 0.1357254981994629, 'neutral': 0.514299750328064, 'sadness': 0.02779504656791687, 'surprise': 0.2840813994407654}",0.1357254981994629,0.02779504656791687,0.030487963929772377,0.00586187606677413,0.0017484421841800213,0.2840813994407654,0.514299750328064
Im going to go to the store and buy some stuff,"{'anger': 0.00502694770693779, 'disgust': 0.0016023844946175814, 'fear': 0.002368249697610736, 'joy': 0.8456020951271057, 'neutral': 0.0686938464641571, 'sadness': 0.017957575619220734, 'surprise': 0.05874890089035034}",0.8456020951271057,0.017957575619220734,0.00502694770693779,0.002368249697610736,0.0016023844946175814,0.05874890089035034,0.0686938464641571
"Your fake image is over. It's prison time, baby.","{'anger': 0.2572525441646576, 'disgust': 0.1498054414987564, 'fear': 0.01909981667995453, 'joy': 0.006503412500023842, 'neutral': 0.48167410492897034, 'sadness': 0.07736786454916, 'surprise': 0.00829682219773531}",0.006503412500023842,0.07736786454916,0.2572525441646576,0.01909981667995453,0.1498054414987564,0.00829682219773531,0.48167410492897034
I  love your song so much you are the best,"{'anger': 0.001230126596055925, 'disgust': 0.00025028313393704593, 'fear': 0.0006066182977519929, 'joy': 0.9670658707618713, 'neutral': 0.005531870294362307, 'sadness': 0.00705975666642189, 'surprise': 0.018255531787872314}",0.9670658707618713,0.00705975666642189,0.001230126596055925,0.0006066182977519929,0.00025028313393704593,0.018255531787872314,0.005531870294362307
thats a noughty wife double oh who would do that,"{'anger': 0.021632356569170952, 'disgust': 0.035815443843603134, 'fear': 0.014094208367168903, 'joy': 0.018751638010144234, 'neutral': 0.2615453600883484, 'sadness': 0.1282898485660553, 'surprise': 0.519871175289154}",0.018751638010144234,0.1282898485660553,0.021632356569170952,0.014094208367168903,0.035815443843603134,0.519871175289154,0.2615453600883484
Whos here that blank space is the favorite,"{'anger': 0.011227971874177456, 'disgust': 0.018057702109217644, 'fear': 0.0026842819061130285, 'joy': 0.018670445308089256, 'neutral': 0.5672993063926697, 'sadness': 0.050770848989486694, 'surprise': 0.3312895596027374}",0.018670445308089256,0.050770848989486694,0.011227971874177456,0.0026842819061130285,0.018057702109217644,0.3312895596027374,0.5672993063926697
The only thing nice about this is her looks.,"{'anger': 0.00854121521115303, 'disgust': 0.1653183251619339, 'fear': 0.0018426690949127078, 'joy': 0.12218961864709854, 'neutral': 0.6640620231628418, 'sadness': 0.015761306509375572, 'surprise': 0.022284818813204765}",0.12218961864709854,0.015761306509375572,0.00854121521115303,0.0018426690949127078,0.1653183251619339,0.022284818813204765,0.6640620231628418
2014:11:11 2024:11:11  swiftie since blank space,"{'anger': 0.005117753986269236, 'disgust': 0.002111251000314951, 'fear': 0.0034325113520026207, 'joy': 0.028157906606793404, 'neutral': 0.31838712096214294, 'sadness': 0.23967371881008148, 'surprise': 0.4031197726726532}",0.028157906606793404,0.23967371881008148,0.005117753986269236,0.0034325113520026207,0.002111251000314951,0.4031197726726532,0.31838712096214294
You know how hard it was to film this. Taylor fell off that horse at least 4 times.,"{'anger': 0.038639992475509644, 'disgust': 0.14103515446186066, 'fear': 0.03405510261654854, 'joy': 0.007588292006403208, 'neutral': 0.28540170192718506, 'sadness': 0.3707602024078369, 'surprise': 0.1225196123123169}",0.007588292006403208,0.3707602024078369,0.038639992475509644,0.03405510261654854,0.14103515446186066,0.1225196123123169,0.28540170192718506
thier was slides for first talk in awhile,"{'anger': 0.004193957429379225, 'disgust': 0.0026222083251923323, 'fear': 0.00948240701109171, 'joy': 0.0651676282286644, 'neutral': 0.3817734122276306, 'sadness': 0.004970750771462917, 'surprise': 0.5317896008491516}",0.0651676282286644,0.004970750771462917,0.004193957429379225,0.00948240701109171,0.0026222083251923323,0.5317896008491516,0.3817734122276306
Hi fans. Do you have time to listen now for a short time??,"{'anger': 0.009933114983141422, 'disgust': 0.009110549464821815, 'fear': 0.006231202278286219, 'joy': 0.012056817300617695, 'neutral': 0.7104783654212952, 'sadness': 0.03559098765254021, 'surprise': 0.21659894287586212}",0.012056817300617695,0.03559098765254021,0.009933114983141422,0.006231202278286219,0.009110549464821815,0.21659894287586212,0.7104783654212952
Taylor Swift time is I can be  to you meet you,"{'anger': 0.0038441726937890053, 'disgust': 0.0016042143106460571, 'fear': 0.005089009180665016, 'joy': 0.5990219712257385, 'neutral': 0.18960946798324585, 'sadness': 0.027292251586914062, 'surprise': 0.17353886365890503}",0.5990219712257385,0.027292251586914062,0.0038441726937890053,0.005089009180665016,0.0016042143106460571,0.17353886365890503,0.18960946798324585
Omg! What a great video. Had fun dancing to it,"{'anger': 0.003263168502599001, 'disgust': 0.0020014739129692316, 'fear': 0.003300434211269021, 'joy': 0.44921737909317017, 'neutral': 0.012047577649354935, 'sadness': 0.006925990805029869, 'surprise': 0.5232439637184143}",0.44921737909317017,0.006925990805029869,0.003263168502599001,0.003300434211269021,0.0020014739129692316,0.5232439637184143,0.012047577649354935
I have not seen your videos in such a long time,"{'anger': 0.0030489410273730755, 'disgust': 0.006681538186967373, 'fear': 0.003260428784415126, 'joy': 0.009599287062883377, 'neutral': 0.22024813294410706, 'sadness': 0.004345586057752371, 'surprise': 0.7528160214424133}",0.009599287062883377,0.004345586057752371,0.0030489410273730755,0.003260428784415126,0.006681538186967373,0.7528160214424133,0.22024813294410706
"YEAH,  LADY,  YOU GOT A BLANK SPACE.  MAYBE TIME TO FILL IT !","{'anger': 0.01740260235965252, 'disgust': 0.0030872675124555826, 'fear': 0.00557441683486104, 'joy': 0.10849940031766891, 'neutral': 0.056352775543928146, 'sadness': 0.06055939197540283, 'surprise': 0.7485241293907166}",0.10849940031766891,0.06055939197540283,0.01740260235965252,0.00557441683486104,0.0030872675124555826,0.7485241293907166,0.056352775543928146
U aint gone yet?  Anerica dont want u here.  Pick up the Signs ,"{'anger': 0.053605448454618454, 'disgust': 0.011646579019725323, 'fear': 0.43633753061294556, 'joy': 0.015532713383436203, 'neutral': 0.16720226407051086, 'sadness': 0.1379595845937729, 'surprise': 0.17771586775779724}",0.015532713383436203,0.1379595845937729,0.053605448454618454,0.43633753061294556,0.011646579019725323,0.17771586775779724,0.16720226407051086
i hope hes not gas leak man the thoughts thier,"{'anger': 0.08878761529922485, 'disgust': 0.0027352652978152037, 'fear': 0.0618479922413826, 'joy': 0.21939437091350555, 'neutral': 0.04377944394946098, 'sadness': 0.5631020069122314, 'surprise': 0.02035333961248398}",0.21939437091350555,0.5631020069122314,0.08878761529922485,0.0618479922413826,0.0027352652978152037,0.02035333961248398,0.04377944394946098
Bye bye taylor swift can't say well miss you,"{'anger': 0.0014433665201067924, 'disgust': 0.0009946832433342934, 'fear': 0.0029872856102883816, 'joy': 0.010088514536619186, 'neutral': 0.034501269459724426, 'sadness': 0.9280765056610107, 'surprise': 0.021908370777964592}",0.010088514536619186,0.9280765056610107,0.0014433665201067924,0.0029872856102883816,0.0009946832433342934,0.021908370777964592,0.034501269459724426
I love this song and the singer Taylor swift,"{'anger': 0.001792487921193242, 'disgust': 0.0006016268162056804, 'fear': 0.0006389691843651235, 'joy': 0.9823172092437744, 'neutral': 0.003991611767560244, 'sadness': 0.004653980489820242, 'surprise': 0.006004082504659891}",0.9823172092437744,0.004653980489820242,0.001792487921193242,0.0006389691843651235,0.0006016268162056804,0.006004082504659891,0.003991611767560244
She may  be insane but that's why I love her ,"{'anger': 0.060832295566797256, 'disgust': 0.050806693732738495, 'fear': 0.07217539846897125, 'joy': 0.6543591618537903, 'neutral': 0.08469756692647934, 'sadness': 0.07415308058261871, 'surprise': 0.0029757709708064795}",0.6543591618537903,0.07415308058261871,0.060832295566797256,0.07217539846897125,0.050806693732738495,0.0029757709708064795,0.08469756692647934
"This is my place, and you are more than welcome. ","{'anger': 0.02991780824959278, 'disgust': 0.02756013534963131, 'fear': 0.010402803309261799, 'joy': 0.31973230838775635, 'neutral': 0.5946651697158813, 'sadness': 0.012439410202205181, 'surprise': 0.005282323807477951}",0.31973230838775635,0.012439410202205181,0.02991780824959278,0.010402803309261799,0.02756013534963131,0.005282323807477951,0.5946651697158813
"Evryone knows why we are here in 2024


Ps: P,did he?","{'anger': 0.01040623988956213, 'disgust': 0.004636947996914387, 'fear': 0.002517527202144265, 'joy': 0.005318670999258757, 'neutral': 0.1672607660293579, 'sadness': 0.008888894692063332, 'surprise': 0.8009709715843201}",0.005318670999258757,0.008888894692063332,0.01040623988956213,0.002517527202144265,0.004636947996914387,0.8009709715843201,0.1672607660293579
Comes to Brazil in 2025 with a new  Taylor Swift tour ,"{'anger': 0.052240580320358276, 'disgust': 0.005384971387684345, 'fear': 0.5810949206352234, 'joy': 0.20440788567066193, 'neutral': 0.10744009166955948, 'sadness': 0.024146325886249542, 'surprise': 0.02528521977365017}",0.20440788567066193,0.024146325886249542,0.052240580320358276,0.5810949206352234,0.005384971387684345,0.02528521977365017,0.10744009166955948
I love you sooooo much your my favorite  singer ,"{'anger': 0.0035302292089909315, 'disgust': 0.0004976287018507719, 'fear': 0.0028273265343159437, 'joy': 0.980889618396759, 'neutral': 0.002758038928732276, 'sadness': 0.006455673836171627, 'surprise': 0.0030414429493248463}",0.980889618396759,0.006455673836171627,0.0035302292089909315,0.0028273265343159437,0.0004976287018507719,0.0030414429493248463,0.002758038928732276
You  are  the  best  singer in the world Taylor swift!!!!!!!!!!!,"{'anger': 0.011549906805157661, 'disgust': 0.001538290991447866, 'fear': 0.0025717513635754585, 'joy': 0.33424055576324463, 'neutral': 0.08749254047870636, 'sadness': 0.03485788032412529, 'surprise': 0.5277490615844727}",0.33424055576324463,0.03485788032412529,0.011549906805157661,0.0025717513635754585,0.001538290991447866,0.5277490615844727,0.08749254047870636
I won't to tell you'a somtig batz in'a praywet,"{'anger': 0.07082655280828476, 'disgust': 0.07245991379022598, 'fear': 0.3262201249599457, 'joy': 0.032325081527233124, 'neutral': 0.2869103252887726, 'sadness': 0.1955747902393341, 'surprise': 0.01568317785859108}",0.032325081527233124,0.1955747902393341,0.07082655280828476,0.3262201249599457,0.07245991379022598,0.01568317785859108,0.2869103252887726
I'm filling in this blank space to let Taylor know I am Michael. The one she seeks.  ,"{'anger': 0.08753944933414459, 'disgust': 0.07529845088720322, 'fear': 0.11323130875825882, 'joy': 0.0038152385968714952, 'neutral': 0.4781474173069, 'sadness': 0.2358129322528839, 'surprise': 0.0061551048420369625}",0.0038152385968714952,0.2358129322528839,0.08753944933414459,0.11323130875825882,0.07529845088720322,0.0061551048420369625,0.4781474173069
This video is so tight. I like how there is another bit in her life at the end. Took me a while to catch onto that.,"{'anger': 0.0031526274979114532, 'disgust': 0.029967229813337326, 'fear': 0.0015770348254591227, 'joy': 0.6619125008583069, 'neutral': 0.27619966864585876, 'sadness': 0.011478716507554054, 'surprise': 0.015712177380919456}",0.6619125008583069,0.011478716507554054,0.0031526274979114532,0.0015770348254591227,0.029967229813337326,0.015712177380919456,0.27619966864585876
Just came to see what the fuss was all about. I honestly don't get it.,"{'anger': 0.07154588401317596, 'disgust': 0.05702957883477211, 'fear': 0.0043988218531012535, 'joy': 0.005288199987262487, 'neutral': 0.052962448447942734, 'sadness': 0.016452249139547348, 'surprise': 0.7923227548599243}",0.005288199987262487,0.016452249139547348,0.07154588401317596,0.0043988218531012535,0.05702957883477211,0.7923227548599243,0.052962448447942734
Peoples are mad.! What is this? Its not song,"{'anger': 0.7783734202384949, 'disgust': 0.04182080924510956, 'fear': 0.01481570303440094, 'joy': 0.008694419637322426, 'neutral': 0.02870922163128853, 'sadness': 0.020816877484321594, 'surprise': 0.10676956176757812}",0.008694419637322426,0.020816877484321594,0.7783734202384949,0.01481570303440094,0.04182080924510956,0.10676956176757812,0.02870922163128853
"If ur my teacher I will sing ur songs every year and day and week. I'm a swiftie, no one judge me","{'anger': 0.14650554955005646, 'disgust': 0.009019313380122185, 'fear': 0.2613133490085602, 'joy': 0.010298733599483967, 'neutral': 0.47179603576660156, 'sadness': 0.011674707755446434, 'surprise': 0.08939231932163239}",0.010298733599483967,0.011674707755446434,0.14650554955005646,0.2613133490085602,0.009019313380122185,0.08939231932163239,0.47179603576660156
oh mommies with that crazy ex this sytems for you,"{'anger': 0.013749025762081146, 'disgust': 0.009195088408887386, 'fear': 0.006924354936927557, 'joy': 0.04925013706088066, 'neutral': 0.05182351917028427, 'sadness': 0.1770593523979187, 'surprise': 0.6919984817504883}",0.04925013706088066,0.1770593523979187,0.013749025762081146,0.006924354936927557,0.009195088408887386,0.6919984817504883,0.05182351917028427
the steam in the cold would help acid steam clean,"{'anger': 0.13128529489040375, 'disgust': 0.11222365498542786, 'fear': 0.007643125019967556, 'joy': 0.13695751130580902, 'neutral': 0.5675925016403198, 'sadness': 0.029423678293824196, 'surprise': 0.014874192886054516}",0.13695751130580902,0.029423678293824196,0.13128529489040375,0.007643125019967556,0.11222365498542786,0.014874192886054516,0.5675925016403198
over takinig law aaround a years time would have put me back in with phone checks in 2018,"{'anger': 0.008877167478203773, 'disgust': 0.001689014839939773, 'fear': 0.004880168009549379, 'joy': 0.04964626580476761, 'neutral': 0.3816533088684082, 'sadness': 0.32587313652038574, 'surprise': 0.2273809164762497}",0.04964626580476761,0.32587313652038574,0.008877167478203773,0.004880168009549379,0.001689014839939773,0.2273809164762497,0.3816533088684082
"OK. Me here. Stop 

 outrageous amounts. Who can oay that?","{'anger': 0.519263744354248, 'disgust': 0.01432100497186184, 'fear': 0.29730913043022156, 'joy': 0.007761028129607439, 'neutral': 0.08528462052345276, 'sadness': 0.042845554649829865, 'surprise': 0.03321484848856926}",0.007761028129607439,0.042845554649829865,0.519263744354248,0.29730913043022156,0.01432100497186184,0.03321484848856926,0.08528462052345276
Cant lie Taylor swift owned the years of 2013-2016,"{'anger': 0.021184273064136505, 'disgust': 0.014778615906834602, 'fear': 0.004049438983201981, 'joy': 0.004449144005775452, 'neutral': 0.8398854732513428, 'sadness': 0.03483041375875473, 'surprise': 0.08082265406847}",0.004449144005775452,0.03483041375875473,0.021184273064136505,0.004049438983201981,0.014778615906834602,0.08082265406847,0.8398854732513428
This is a crume one why do they call Darth Vaders wife Padma,"{'anger': 0.3376637399196625, 'disgust': 0.5692052841186523, 'fear': 0.0044884453527629375, 'joy': 0.001704295282252133, 'neutral': 0.06262921541929245, 'sadness': 0.010333934798836708, 'surprise': 0.01397509966045618}",0.001704295282252133,0.010333934798836708,0.3376637399196625,0.0044884453527629375,0.5692052841186523,0.01397509966045618,0.06262921541929245
